equipo,draw_calls,triangles,geometries,textures,programs,pixelRatio,shadowAuto,ready
camara-fermentacion,87,1544,88,3,7,1,false,true
estanteria,61,1442,62,2,5,1,false,true
estufa-rango,54,3986,55,3,7,1,false,true
fermentadora,50,924,51,3,7,1,false,true
horno-rotativo,47,1088,48,3,7,1,false,true
horno-domino,43,1190,44,3,7,1,false,true
freidora,40,872,41,3,6,1,false,true
horno-conveccion,40,1268,41,3,7,1,false,true
laminadora,40,1808,41,3,6,1,false,true
silla-lavabo,36,1302,37,2,5,1,false,true
rebanadora,34,586,35,3,6,1,false,true
cuentalitros,25,1500,26,3,6,1,false,true
batidora-planetaria,24,6246,25,3,6,1,false,true
ultracongelador,22,532,23,3,7,1,false,true
lavavajillas,21,682,22,3,6,1,false,true
amasadora-espiral,19,2908,20,3,6,1,false,true
mesa-trabajo,17,546,18,3,6,1,false,true
bascula-piso,15,436,16,3,6,1,false,true
